Name,Base Salary,HRA,Tax (%),Funds,Deductions,Gross Salary,Net Salary
Employee_47,72990,18359,10,4561,1381,95910,85394.1
Employee_48,81962,8898,5,4090,579,94950,89828.0
Employee_49,84039,15127,15,5310,3423,104476,86178.1
Employee_50,74788,17119,20,2263,3360,94170,72428.6
Employee_51,30797,14866,20,5655,3462,51318,38723.4
Employee_52,80110,7286,25,1654,662,89050,66539.0
Employee_53,58457,5943,20,7484,2702,71884,56302.0
Employee_54,84850,19251,15,7630,3523,111731,92592.85
Employee_55,60026,7403,25,6302,4328,73731,52545.75
Employee_56,46020,11508,5,6248,838,63776,60061.6
Employee_57,50286,10991,10,1785,1837,63062,55097.3
Employee_58,62156,9079,15,2312,2996,73547,59865.75
Employee_59,49813,18478,25,4953,1233,73244,54938.25
Employee_60,98671,12768,10,6907,2237,118346,104965.1
Employee_61,81232,9293,20,3867,1046,94392,75241.0
Employee_62,88390,8161,15,1770,4269,98321,79569.35
Employee_63,43567,13158,20,5504,1853,62229,49031.0
Employee_64,85148,12173,15,2078,4789,99399,80011.85
Employee_65,68383,8256,5,8367,1950,85006,79224.05
Employee_66,47480,13513,10,2551,1212,63544,56232.7
Employee_67,76909,18637,10,7769,3497,103315,90263.4
Employee_68,84310,18685,5,2855,4296,105850,96404.25
Employee_69,50321,16384,25,9029,4670,75734,54387.75
Employee_70,39732,11590,10,5159,3791,56481,47557.8
Employee_71,54099,17173,10,7608,2497,78880,69255.8
Employee_72,99814,11971,20,1512,962,113297,89978.0
Employee_73,83251,11719,25,8829,3258,103799,76798.5
Employee_74,60710,17660,15,5986,3515,84356,69085.5
Employee_75,90118,8368,25,7689,3454,106175,78099.5
Employee_76,68477,13833,20,3232,2777,85542,66303.0
Employee_77,47123,15952,5,7469,1407,70544,65983.25
Employee_78,79812,19790,20,8703,4136,108305,84248.6
Employee_79,86224,9910,5,7186,3663,103320,94850.3
Employee_80,75125,9107,10,4519,2755,88751,77572.8
Employee_81,71528,7025,25,9302,1748,87855,66468.75
Employee_82,65225,11006,5,6180,4632,82411,73967.45
Employee_83,79304,6931,25,1749,4409,87984,62016.25
Employee_84,88609,5766,20,8370,2476,102745,81394.0
Employee_85,62520,13053,5,4864,4732,80437,71926.35
Employee_86,67862,17060,25,2292,3518,87214,62465.5
Employee_87,79370,19062,25,6396,3677,104828,76543.0
Employee_88,30852,18128,15,7982,4284,56962,45331.0
Employee_89,54607,13371,15,2502,1103,70480,59180.3
Employee_90,42908,6675,20,9362,4771,58945,44257.4
Employee_91,88369,12599,15,8011,3823,108979,90010.8
Employee_92,72769,16411,25,3176,3388,92356,66673.0
Employee_93,62867,11754,15,3648,4788,78269,62287.85
Employee_94,88896,19513,20,8132,3614,116541,91245.2
Employee_95,58511,12195,10,2055,3762,72761,61928.4
Employee_96,66939,7831,20,4512,4169,79282,60159.0
Employee_97,91684,16465,10,9424,4048,117573,102710.1
Employee_98,70973,11414,10,5612,3120,87999,76640.3
Employee_99,30854,10922,15,9050,3666,50826,40893.6
Employee_100,31650,17977,20,6886,2392,56513,44195.6
Employee_101,77891,16604,15,1560,2062,96055,79818.75
Employee_102,68962,9253,5,3315,1918,81530,75701.25
Employee_103,92986,16792,25,5814,2195,115592,85952.5
Employee_104,46575,10698,15,3752,3835,61025,48599.05
Employee_105,44664,15206,5,2957,2549,62827,57284.5
Employee_106,72905,10264,15,2221,1816,85390,71098.65
Employee_107,59022,12330,5,9912,3059,81264,74637.4
Employee_108,84103,16854,10,3519,602,104476,93778.3
Employee_109,51182,15573,10,6533,2071,73288,64541.5
Employee_110,85383,5524,25,2784,4462,93691,66502.25
Employee_111,87619,9702,15,2555,1225,99876,84052.85
Employee_112,59572,19703,25,8700,1528,87975,66628.25
Employee_113,54486,10236,20,3297,2400,68019,52674.6
Employee_114,85258,18687,5,7741,3506,111686,102982.75
Employee_115,67806,16020,25,1502,1473,85328,62898.5
Employee_116,52247,16789,5,7868,1653,76904,71799.2
Employee_117,52076,14215,20,8418,3691,74709,57759.8
Employee_118,93931,18007,25,8760,2657,120698,90056.5
Employee_119,92552,11354,25,9733,3138,113639,84524.5
Employee_120,82223,14316,25,8452,1513,104991,79343.25
Employee_121,54811,18006,10,8595,3678,81412,70452.3
Employee_122,92972,5858,15,5926,2212,104756,87719.5
Employee_123,62975,14192,5,6618,806,83785,79120.65
Employee_124,60943,17107,20,9285,4667,87335,67058.0
Employee_125,32922,9717,20,2780,2523,45419,34368.2
Employee_126,65776,5750,15,5562,4182,77088,62177.1
Employee_127,96353,16180,15,8529,4934,121062,99248.05
Employee_128,81909,5590,20,4409,2306,91908,72102.2
Employee_129,56358,5465,5,4991,4202,66814,59520.85
Employee_130,91392,9130,5,4653,3568,105175,96580.9
Employee_131,54896,13160,20,3213,4524,71269,53133.8
Employee_132,55771,18706,10,7330,1567,81807,72792.3
Employee_133,69529,9811,15,8053,2721,87393,72771.0
Employee_134,46374,6718,10,8611,3623,61703,52770.8
Employee_135,53904,14493,20,6246,1310,74643,59653.6
Employee_136,82175,7371,25,6103,4108,95649,69154.5
Employee_137,37023,11747,20,3184,4431,51954,37769.0
Employee_138,32970,15233,20,2793,3815,50996,37540.4
Employee_139,31098,9231,15,7784,2607,48113,39456.65
Employee_140,73566,10145,5,2073,824,85784,80774.45
Employee_141,93013,19055,5,2590,4413,114658,104641.6
Employee_142,42733,10980,5,4364,4895,58077,50496.35
Employee_143,72640,5047,15,4025,3565,81712,66493.95
Employee_144,76165,12180,15,7048,4805,95393,77336.25
Employee_145,81135,17777,20,7437,1590,106349,84976.6
Employee_146,36652,9609,10,4864,2602,51125,43896.9
Employee_147,33311,8559,10,8765,3701,50635,42747.0
Employee_148,62756,8034,5,7566,2318,78356,72498.5
Employee_149,45544,6781,5,4721,1484,57046,52945.75
Employee_150,36467,13193,25,1567,3536,51227,35276.0
Employee_151,64363,16956,20,1236,2767,82555,63524.2
Employee_152,98166,15343,25,9646,1684,123155,93093.75
Employee_153,80904,16242,15,2838,2582,99984,82830.1
Employee_154,49574,17427,5,2950,4294,69951,62306.95
Employee_155,89001,16024,10,4019,3496,109044,95045.5
Employee_156,72713,16505,5,6917,2639,96135,89035.1
Employee_157,35319,8431,10,6250,2121,50000,43504.0
Employee_158,64472,19158,20,5423,1822,89053,70505.0
Employee_159,43606,18702,15,3131,3040,65439,53052.8
Employee_160,55604,13325,15,9864,1326,78793,67127.65
Employee_161,74676,19798,10,2771,710,97245,87087.6
Employee_162,42213,5078,25,8383,2730,55674,41121.25
Employee_163,85907,12915,5,5502,1841,104324,97541.9
Employee_164,52026,7052,15,2707,1017,61785,51906.3
Employee_165,59370,18726,15,7501,3858,85597,70024.6
Employee_166,77588,17113,20,5258,3255,99959,77763.8
Employee_167,78921,18369,15,3728,850,101018,85574.5
Employee_168,71453,5559,25,4415,1267,81427,60907.0
Employee_169,47406,12712,25,2709,4256,62827,43541.5
Employee_170,53768,8493,15,8766,3943,71027,57744.85
Employee_171,43236,11203,10,5659,1703,60098,52951.1
Employee_172,67890,18894,20,5944,3422,92728,71949.2
Employee_173,63455,12492,10,7114,4210,83061,71256.3
Employee_174,84868,17513,15,8967,1124,111348,94866.85
Employee_175,32122,5573,25,6666,556,44361,34381.25
Employee_176,50645,9957,15,5478,1689,66080,55300.7
Employee_177,97594,16401,10,2954,1864,116949,103685.5
Employee_178,57653,14650,20,4200,890,76503,61152.4
Employee_179,43821,12907,25,2492,1060,59220,43978.0
Employee_180,79377,14358,25,1111,4338,94846,67074.25
Employee_181,56979,7397,15,5710,4775,70086,55654.6
Employee_182,62064,12784,10,4778,2844,79626,69297.2
Employee_183,98738,8219,25,4263,4675,111220,79805.75
Employee_184,62049,5723,20,4446,3349,72218,55314.6
Employee_185,93414,5345,15,1351,903,100110,84393.15
Employee_186,41650,5592,5,3551,4695,50793,43735.9
Employee_187,94146,16570,20,5290,3367,116006,90495.8
Employee_188,83130,12635,10,9302,4434,105067,91056.5
Employee_189,53557,18511,25,5913,2950,77981,57014.0
Employee_190,86855,14941,20,4952,706,106748,85682.8
Employee_191,58961,8190,15,8913,3267,76064,62724.35
Employee_192,95211,16907,5,5880,2800,117998,109592.1
Employee_193,34662,18240,10,6373,1023,59275,52961.8
Employee_194,30043,8573,10,6257,4868,44873,36143.4
Employee_195,45001,12389,10,6008,1955,63398,55704.0
Employee_196,30735,5291,5,4713,3512,40739,35425.7
Employee_197,57332,5495,20,4935,2402,67762,52794.6
Employee_198,80048,13823,20,6225,4838,100096,76483.8
Employee_199,93130,10307,5,1780,3188,105217,96857.15
Employee_200,80438,7311,10,4912,3405,92661,80481.1
Employee_201,67912,19970,5,2297,1595,90179,84189.9
Employee_202,39622,11945,15,9558,2136,61125,51253.95
Employee_203,41100,16718,5,1330,2605,59148,53652.1
Employee_204,72258,15894,20,5975,1102,94127,75394.6
Employee_205,42059,9420,15,6495,1286,57974,48966.15
Employee_206,49118,13136,20,8724,2648,70978,55879.2
Employee_207,44404,7211,20,9414,3892,61029,46814.0
Employee_208,91586,5769,25,6633,1706,103988,77943.25
Employee_209,79525,10270,15,7675,4153,97470,79847.75
Employee_210,69114,11278,5,3509,4408,83901,75473.4
Employee_211,41309,12922,15,6282,3250,60513,49128.35
Employee_212,38551,10641,15,6668,2747,55860,45734.2
Employee_213,32185,15917,10,6171,1294,54273,48168.8
Employee_214,72628,14019,10,7294,2350,93941,82926.3
Employee_215,96114,12669,10,5514,3245,114297,100173.7
Employee_216,31913,19682,5,3478,4461,55073,48032.25
Employee_217,99095,9935,20,4850,3264,113880,88810.0
Employee_218,71271,18475,5,3071,1881,92817,86448.7
Employee_219,42559,11894,20,1590,4896,56043,40256.4
Employee_220,44533,12457,25,4314,1851,61304,45205.5
Employee_221,66328,9132,20,6885,3617,82345,63636.0
Employee_222,78871,15673,25,9187,3209,103731,76886.0
Employee_223,88250,11486,10,7930,939,107666,96753.4
Employee_224,70399,16636,25,2862,733,89897,67405.25
Employee_225,30329,15304,20,2933,1166,48566,38273.4
Employee_226,52419,13474,25,8255,4218,74148,53456.75
Employee_227,79872,9390,25,2350,1817,91612,67479.5
Employee_228,88562,17900,20,7164,3989,113626,88344.6
Employee_229,48660,6189,20,6327,1175,61176,49031.2
Employee_230,91715,9694,15,9114,2294,110523,93017.65
Employee_231,41469,13856,15,9771,3598,65096,53199.25
Employee_232,34713,18839,10,4117,1351,57669,50962.8
Employee_233,93600,14437,20,8424,659,116461,94194.6
Employee_234,52752,7711,20,4178,3143,64641,49405.4
Employee_235,69443,6338,5,1313,3080,77094,70224.95
Employee_236,99636,12371,15,3159,1148,115166,97216.95
Employee_237,70926,14325,25,2046,3570,87297,62414.25
Employee_238,85990,6070,20,7730,1194,99790,80184.0
Employee_239,97721,11603,25,3797,506,113121,85284.0
Employee_240,82806,12520,5,6572,1413,101898,95718.7
Employee_241,88673,6524,20,2112,1050,97309,77219.6
Employee_242,53795,14035,10,7198,4394,75028,63851.0
Employee_243,42447,7496,15,7769,1479,57712,48741.55
Employee_244,58411,6166,25,9248,2847,73825,54833.75
Employee_245,88491,9007,25,2765,1111,100263,74777.5
Employee_246,41421,19460,15,7165,1834,68046,57079.85
Employee_247,46930,8886,5,1608,4220,57424,50413.2
Employee_248,79484,18127,20,7306,4644,104917,80750.8
Employee_249,92582,13468,20,1805,4303,107855,82342.0
Employee_250,83997,14765,5,9617,4922,108379,98518.9
Employee_251,83265,12857,20,6020,1125,102142,81792.6
Employee_252,60455,16051,10,5593,4974,82099,69474.4
Employee_253,83398,13666,25,3311,2901,100375,73208.0
Employee_254,73443,15129,5,4073,1707,92645,86509.4
Employee_255,44830,12856,15,2863,4581,60549,47315.1
Employee_256,55343,17220,15,6232,4762,78795,63148.55
Employee_257,37904,14220,25,5140,535,57264,43698.0
Employee_258,98265,5496,15,2343,1516,106104,89023.85
Employee_259,46142,7893,5,2853,1081,56888,53105.25
Employee_260,99127,6283,20,3323,1092,108733,86559.0
Employee_261,83093,8947,20,7481,4523,99521,76590.0
Employee_262,54108,12145,15,1662,4295,67915,53682.05
Employee_263,67793,7751,5,9264,2590,84808,78440.8
Employee_264,62856,17922,5,8177,4370,88955,80546.1
Employee_265,89863,9013,5,3084,2747,101960,94269.2
Employee_266,36163,12280,15,5496,1047,53939,45625.55
Employee_267,65091,10827,5,2008,3704,77926,70426.1
Employee_268,72939,18938,15,8806,664,100683,86237.45
Employee_269,80045,14729,15,3610,3219,98384,80948.9
Employee_270,59940,15354,10,4969,3349,80263,69384.6
Employee_271,71073,17564,25,2074,1643,90711,66908.75
Employee_272,56258,14846,15,3097,3727,74201,59808.4
Employee_273,47184,14347,15,3158,1512,64689,53947.35
Employee_274,93539,16466,5,8762,4853,118767,108413.75
Employee_275,39684,7480,5,3903,2673,51067,46035.8
Employee_276,37968,9616,10,8905,3892,56489,47838.6
Employee_277,35647,13179,5,8564,3487,57390,51461.7
Employee_278,61668,12351,10,5305,4841,79324,67081.1
Employee_279,70730,15438,25,6837,3380,93005,68083.0
Employee_280,43963,18001,20,9273,5000,71237,53844.2
Employee_281,53358,11565,15,4638,3783,69561,56039.55
Employee_282,70904,5821,25,9211,1650,85936,65104.75
Employee_283,33328,14406,10,1108,4772,48842,39296.6
Employee_284,53233,5643,5,1858,4064,60734,53726.2
Employee_285,48518,16366,25,9830,3654,74714,54839.0
Employee_286,88947,9785,5,7361,4124,106093,97032.4
Employee_287,78305,5663,25,2317,2832,86285,62461.0
Employee_288,49763,5153,20,6321,1532,61237,48721.8
Employee_289,80436,13281,20,9921,2268,103638,82626.6
Employee_290,60580,15729,5,9803,952,86112,81344.55
Employee_291,88404,10668,25,8762,2385,107834,80681.0
Employee_292,42632,5603,15,4371,2265,52606,43105.75
Employee_293,52479,15534,25,7949,4705,75962,54253.75
Employee_294,90548,5511,15,4797,1575,100856,84872.15
Employee_295,84882,16410,20,1726,4866,103018,77893.6
Employee_296,93159,15959,20,3909,1349,113027,89854.4
Employee_297,60966,19866,25,6826,2971,87658,64479.0
Employee_298,61897,11160,20,5233,4911,78290,58767.6
Employee_299,51855,14122,10,2506,1069,68483,60816.3
Employee_300,79983,10913,10,2295,2110,93191,81991.4
Employee_301,58382,11721,15,3731,4944,73834,58374.55
Employee_302,90591,14080,10,9250,3562,113921,99891.9
Employee_303,44894,11616,10,7853,2156,64363,56556.0
Employee_304,84431,5742,25,5639,3916,95812,69352.75
Employee_305,61502,8930,10,5269,1200,75701,67457.8
Employee_306,87816,19062,25,1850,737,108728,81271.5
Employee_307,49116,8553,25,4843,2480,62512,45614.75
Employee_308,63324,12863,10,7239,4191,83426,71616.3
Employee_309,80967,17912,20,9333,1567,108212,86869.2
Employee_310,94064,18394,10,3928,3201,116386,101939.2
Employee_311,37070,11966,15,4793,3048,53829,43425.6
Employee_312,85555,14792,5,9879,4865,110226,100343.65
Employee_313,91860,11745,5,5272,1987,108877,101709.75
Employee_314,65105,11839,10,3501,615,80445,72135.6
Employee_315,52071,17605,20,9982,3035,79658,62687.8
Employee_316,95745,16347,15,2880,4053,114972,94105.2
Employee_317,89329,13297,15,1772,4562,104398,84442.1
Employee_318,73388,19964,5,6921,1319,100273,94286.4
Employee_319,44556,10487,15,6403,2248,61446,50941.55
Employee_320,58288,10774,20,8131,2963,77193,60417.6
Employee_321,54891,12861,20,2515,523,70267,56193.6
Employee_322,44559,18098,25,7031,976,69688,53047.75
Employee_323,44363,19455,25,7432,3537,71250,51758.5
Employee_324,83957,18209,20,1262,3319,103428,79675.8
Employee_325,57678,19435,10,7580,1772,84693,75209.7
Employee_326,66416,7906,15,1262,1863,75584,62572.7
Employee_327,34896,18215,20,8469,1504,61580,49453.8
Employee_328,49172,8895,25,3927,3022,61994,44455.25
Employee_329,30135,16269,15,7987,3037,54391,44393.4
Employee_330,65365,13727,15,4627,2940,83719,68915.2
Employee_331,52429,16938,25,8382,4703,77749,55704.25
Employee_332,83567,5464,5,4555,3491,93586,85643.45
Employee_333,43273,19050,20,8374,1769,70697,56463.4
Employee_334,47949,11802,5,7621,1088,67372,63296.45
Employee_335,42270,13547,5,1618,4719,57435,49925.15
Employee_336,79692,18848,10,7154,3724,105694,92116.0
Employee_337,64652,5927,5,7152,3729,77731,70473.05
Employee_338,51654,8442,20,5843,4530,65939,49389.8
Employee_339,94743,17948,20,7275,769,119966,96658.8
Employee_340,57045,15077,25,9159,2692,81281,60558.5
Employee_341,42644,17572,5,4792,4700,65008,57297.2
Employee_342,93985,9558,15,5788,3250,109331,90549.55
Employee_343,41921,18937,15,1511,4581,62369,48659.3
Employee_344,33258,9173,25,9937,1471,52368,40289.25
Employee_345,82354,18388,20,2040,1844,102782,80789.6
Employee_346,59392,8165,20,3841,4036,71398,53850.6
Employee_347,88981,17223,20,2136,2816,108340,84283.2
Employee_348,38738,12870,15,7644,1821,59252,49689.8
Employee_349,45747,19357,5,8646,4786,73750,65708.8
Employee_350,90459,11468,10,9417,1538,111344,99613.3
Employee_351,73927,10186,15,7624,1892,91737,77228.05
Employee_352,45823,15716,20,6238,4647,67777,50822.2
Employee_353,31685,19098,25,4789,3272,55572,39604.25
Employee_354,74783,17820,20,3064,4620,95667,72526.4
Employee_355,49777,6132,20,5732,2804,61641,47655.2
Employee_356,51030,17806,10,1466,3329,70302,60089.4
Employee_357,84577,13972,20,3605,4909,102154,77535.2
Employee_358,58850,13683,20,2386,676,74919,59736.4
Employee_359,35585,12632,15,9511,1579,57728,48916.45
Employee_360,48016,10554,25,9558,4598,68128,48887.5
Employee_361,95627,15987,20,3510,1452,115124,91349.2
Employee_362,74970,9611,20,5792,3451,90373,70005.8
Employee_363,48251,19594,10,2666,2870,70511,60856.5
Employee_364,59730,10659,10,6700,4379,77089,65671.1
Employee_365,49005,11581,10,6231,2589,66817,58169.4
Employee_366,33917,6909,15,5759,2871,46585,37590.1
Employee_367,43524,9607,15,4849,4984,57980,45026.35
Employee_368,57459,15617,25,4404,3932,77480,55279.0
Employee_369,40961,7325,10,2417,539,50703,45335.4
Employee_370,46832,13912,20,1121,4431,61865,45285.2
Employee_371,44091,8668,5,5878,1409,58637,54590.05
Employee_372,65974,7770,20,8601,952,82345,66644.2
Employee_373,84927,8904,5,3336,3716,97167,88759.45
Employee_374,57696,5693,25,3357,2784,66746,48114.75
Employee_375,39808,11979,20,4138,2078,55925,43489.6
Employee_376,96808,9792,5,7757,4945,114357,104082.0
Employee_377,77913,11922,25,2643,997,92478,69022.25
Employee_378,86278,17406,5,1604,3852,105288,96251.8
Employee_379,46699,11118,20,7616,1202,65433,52667.6
Employee_380,73226,10319,20,3944,2551,87489,68229.0
Employee_381,41440,5658,5,1003,3970,48101,41776.1
Employee_382,50376,5456,20,2897,2862,58729,44700.6
Employee_383,34343,8860,5,2107,3779,45310,39370.85
Employee_384,92236,7151,20,9029,3788,108416,84750.6
Employee_385,71060,18717,25,1639,4466,91416,64505.75
Employee_386,94912,16994,10,7755,4512,119661,103958.4
Employee_387,48431,14390,5,7175,2585,69996,64269.95
Employee_388,78578,13374,25,5026,1531,96978,72459.0
Employee_389,52048,18538,20,1104,3662,71690,53910.8
Employee_390,59138,15002,5,2413,643,76553,72203.0
Employee_391,91780,10166,25,6095,2873,108041,79681.5
Employee_392,56914,14724,25,3449,2135,75087,55042.5
Employee_393,32399,19395,25,4573,4344,56367,39074.5
Employee_394,47872,15509,25,7501,1286,70882,53750.75
Employee_395,31200,17794,5,3446,1027,52440,48963.3
Employee_396,90352,13200,25,1687,3262,105239,76089.0
Employee_397,75951,14705,10,8366,1777,99022,88179.4
Employee_398,88167,13863,10,1104,787,103134,92144.0
Employee_399,36963,8094,5,8431,2588,53488,48647.15
Employee_400,73196,18850,10,6963,2209,99009,87595.4
Employee_401,94293,6411,5,1026,2852,101730,93842.8
Employee_402,86451,7000,10,1395,1628,94846,83872.9
Employee_403,44783,12334,20,9894,2943,67011,52644.6
Employee_404,94637,14647,15,3827,1273,113111,95445.4
Employee_405,90092,15013,25,1876,1823,106981,78881.75
Employee_406,82358,12847,5,2555,3700,97760,89299.75
Employee_407,88309,12812,15,1997,645,103118,87304.85
Employee_408,53153,15461,10,7982,2638,76596,67096.6
Employee_409,96387,16907,5,9455,938,122749,116146.3
Employee_410,45866,18291,20,2345,4210,66502,49460.6
Employee_411,86674,17067,10,9454,1028,113195,101792.9
Employee_412,76885,5262,15,1188,3874,83335,67138.95
Employee_413,79395,15926,15,1234,1169,96555,81087.85
Employee_414,33369,5064,25,5655,4493,44088,29986.75
Employee_415,71650,13737,20,8349,4168,93736,72490.6
Employee_416,79481,17947,10,6108,4343,103536,89450.2
Employee_417,68236,16720,25,1003,2783,85959,61937.0
Employee_418,79184,14497,10,7353,2119,101034,89546.9
Employee_419,33247,18749,5,9878,4020,61874,55254.2
Employee_420,34629,17663,15,1592,3517,53884,42523.2
Employee_421,54647,14454,15,7603,2981,76704,63357.85
Employee_422,97095,5794,25,7416,4273,110305,80309.75
Employee_423,42288,9731,20,6496,3849,58515,44262.2
Employee_424,90980,6366,25,7676,2323,105022,78362.5
Employee_425,34100,13418,5,5103,4188,52621,46057.1
Employee_426,51856,19247,15,4457,2045,75560,62849.55
Employee_427,81102,17762,10,3890,1801,102754,91066.6
Employee_428,64309,12433,15,3577,2553,80319,66254.7
Employee_429,99399,10590,5,4322,3644,114311,105167.55
Employee_430,69375,17599,15,3497,3388,90471,74036.9
Employee_431,63677,5848,5,8104,4549,77629,69603.75
Employee_432,67542,14706,25,6081,2591,88329,65176.0
Employee_433,55118,14481,15,8741,909,78340,66991.15
Employee_434,64394,18230,25,4566,4885,87190,61649.0
Employee_435,57141,9824,20,4227,1838,71192,55961.0
Employee_436,51276,6616,15,9612,3404,67504,55416.2
Employee_437,43989,11140,25,3506,3353,58635,41499.75
Employee_438,57948,18488,15,4891,3624,81327,66237.6
Employee_439,99892,15522,5,5519,4486,120933,110676.3
Employee_440,59642,17281,20,1543,3584,78466,59497.4
Employee_441,42533,6126,20,1875,565,50534,40237.2
Employee_442,64579,8031,10,6778,4653,79388,67474.0
Employee_443,33080,14229,15,6354,4413,53663,42153.65
Employee_444,92944,6227,10,6382,4887,105553,90748.9
Employee_445,91368,18919,10,9624,4626,119911,104256.3
Employee_446,46706,7382,5,8081,3151,62169,56313.6
Employee_447,78014,13898,15,8193,2168,100105,84150.2
Employee_448,30793,18405,10,4592,2188,53790,46682.2
Employee_449,72696,18329,25,4358,3168,95383,69458.75
Employee_450,80814,6666,10,6106,1698,93586,83140.0
Employee_451,62206,17449,5,2755,1433,82410,76994.25
Employee_452,72101,9279,15,5109,2720,86489,71562.0
Employee_453,83664,18896,15,3845,1831,106405,89190.0
Employee_454,56090,10939,20,9477,2700,76506,60400.2
Employee_455,69188,6104,20,7083,3308,82375,64008.6
Employee_456,38238,18672,5,9167,883,66077,62348.5
Employee_457,75912,19635,5,5539,4410,101086,91898.65
Employee_458,53706,18464,25,4816,3786,76986,55157.5
Employee_459,97583,19744,5,2162,3065,119489,110557.65
Employee_460,51340,12168,15,3169,1950,66677,55200.8
Employee_461,38192,8407,20,6055,2177,52654,41157.2
Employee_462,98067,15627,20,3326,2636,117020,91645.2
Employee_463,88393,10400,5,3772,2414,102565,95211.35
Employee_464,32146,13022,10,4734,4160,49902,41225.2
Employee_465,65663,11773,5,3408,3048,80844,73924.2
Employee_466,55382,14918,20,2369,3287,72669,55322.0
Employee_467,47687,16863,10,1162,4491,65712,54766.0
Employee_468,56782,18512,25,1526,2727,76820,55269.5
Employee_469,96367,9971,25,9559,4893,115897,84419.5
Employee_470,45292,8942,25,1148,1311,55382,40512.5
Employee_471,45847,13063,25,8651,4407,67561,48426.5
Employee_472,36922,12741,15,7268,2539,56931,46942.55
Employee_473,56725,8897,20,8012,1784,73634,58725.6
Employee_474,49525,15238,5,9470,4772,74233,66222.85
Employee_475,84530,12219,10,6279,2313,103028,91040.1
Employee_476,67121,8816,10,5965,4833,81902,69475.3
Employee_477,34955,10034,10,3359,4866,48348,38983.1
Employee_478,55727,12951,15,4023,2507,72701,59892.3
Employee_479,44045,14194,10,4802,3493,63041,53724.1
Employee_480,65881,14576,15,4066,2993,84523,69461.45
Employee_481,52214,19156,5,3039,1597,74409,69243.5
Employee_482,49150,8978,15,5472,4179,63600,50701.8
Employee_483,67529,17776,15,6296,3439,91601,75366.25
Employee_484,44799,11352,15,4790,1961,60941,50557.35
Employee_485,30696,10403,5,9287,2013,50386,46318.05
Employee_486,79066,13022,20,2612,3093,94700,73189.4
Employee_487,91104,5229,15,9403,1497,105736,89789.05
Employee_488,76618,5905,25,2116,2297,84639,61711.25
Employee_489,96580,8166,15,1742,2300,106488,88476.1
Employee_490,43877,14474,5,7866,2815,66217,60484.45
Employee_491,84253,16029,25,1587,4124,101869,72674.5
Employee_492,99714,8116,20,5635,4166,113465,87733.0
Employee_493,79365,16971,15,3039,3160,99375,81764.6
Employee_494,71303,10533,15,2355,681,84191,71234.6
Employee_495,88492,16537,20,5624,1358,110653,88289.2
Employee_496,57338,14087,5,4126,2291,75551,69688.75
Employee_497,60185,12360,20,1534,4518,74079,55052.0
